productName,defaultPrice,image
Sen viền đỏ 9-11cm (bịch nhựa/chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_2809_cd2f52017e7947eb8b943162a7386c80_large.jpg
Sen đá hồng phấn 9-11cm (bịch nhựa/chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_2028_91eeb68fdad640f19201fb5da02326fb_large.jpg
Sen bèo tím 9-11cm (chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_2009_8f4b1149cd9448ae8f58f491f59263d4_large.jpg
Sen bánh bao xanh 9-11cm (chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_2029_e26dd9f1f0b54b489d5d5a27e910988e_large.jpg
Sen kim cương trắng 9-11cm (chậu nhựa/bịch nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_7610_54d7ca3622b2441a956831ba04d2f16a_large.jpg
Liên đài trắng 9-11cm (chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_2031_b0be5401fe6b49d1b781efba853ac325_large.jpg
Sen đá móng rồng (bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_5575_56b602426c0b4062b68cd21b3518fc32_large.jpg
Sen hồng dâu 3-5cm (bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_1661_da6f7b84cbdc4d4ea7408156dbeb54f9_large.jpg
Sen đá vàng chậu lớn (chậu nhựa),"150,000₫",
Sen bèo tím 3-5cm (bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_2675_db401b0d8aa5431b9d68aaaa8fa5252b_large.jpg
Sen rubi hồng 3-5cm (bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_7557_2fe76bce78a245feb657af8a19abb673_large.jpg
Sen đá mix 3 nhánh ngẫu nhiên (chậu nhựa/bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_7591_77ed714b9de44cc6b9e159e0082b3011_large.jpg
Sen dạ quang (bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_2639_ff64ed3c9f9041bc8a1120acef6f3983_large.jpg
Sen đá hoa hồng trắng (bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_7573_4a61f0ce087342588865d002230e8793_large.jpg
Sen đá hồng phấn (bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_2646_1_87b0fee7ee10474f95eb73954149ec5b_large.jpg
Liên đài trắng 3-5cm (chậu nhựa/bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_2666_112e249301bf4b5480c15bf856c67e4a_large.jpg
Sen viền đỏ (bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_2817_5a3d7f7ebcc94d268b27bfb22dd5be0e_large.jpg
Sen ngọc bích 3-5cm (chậu nhựa/bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_1724_large.jpg
Sen ngọc thạch trắng 3-5cm (bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_2068_930946147abb410a8d9b515172c52d2e_large.jpg
Kim cương trắng 3-5cm (chậu nhựa/bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_2848_26fc4cadac574217ba8727111427ff9c_large.jpg
Sỏi thiên thanh (chậu nhựa/bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_2822_1fae4d187bf7486cb3e1540d44898f93_large.jpg
Sen đóa hồng 2-3cm (bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_2855_59f6f3fa125844d68dcbc430f1198cb3_large.jpg
Sen bánh bao xanh 4-5cm (chậu nhựa/bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_1645_346e335d577e47f88a0de685bac1997a_large.jpg
Sen kim tuyến (bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_6503_large.jpg
Sen đất hồng 3-5cm (chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_2819_de6850ffec874486b232ab9f3078eae3_large.jpg
Sen mix 2 loại ngẫu nhiên 3-5cm (chậu nhựa/bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_7923_copy_991b55b2386f481ebf9d84e5abdd13f5_large.jpg
Hoa hồng nâu 9-11cm (Chậu nhựa/bịch nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_0890_large.jpg
Sen đá ngọc lá dài (bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_4419_a5bab60ab5554237a732bc5fdc97a56f_large.jpg
Xương rồng xanh (Bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_7525_large.jpg
Sen đá ống điếu (bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_5356_7113be8b88b747359aff8fb631b68ca7_large.jpg
Sỏi dẹt 3-5cm (bịch nhựa),"15,000₫",
Sen đá rubi lá ngắn (Bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_2655_200c7a91c2124b6c8607cd6f5daf35bc_large.jpg
Hoa hồng đen lá dài 3-5cm (Chậu nhựa/bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_2673_73ab03c84a8c4c799a4a686d3a510e78_large.jpg
Sen đá phật bà (bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_7969_3ab6fb13a47d4f48a94961f1cce800e5_large.jpg
Sen hồng mập (chậu nhựa/bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_2846_b8a067dafcaa4b66a16c6e12a7c579ac_large.jpg
Sen kim tuyến 9-11cm (chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_1502_large.jpg
Viền đỏ giống mới bụi 9-11cm (Chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_9379_large.jpg
Sen cúc cỡ vừa 9-11cm (chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_9568_large.jpg
Sen đá hồng sao (bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/upload_3bbd9e1b72f34470b05e86d102edf3a7_large.jpg
Xương rồng thạch trụ thiên (Bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_5100_0f7d934c02db4bc79e9d35d521d456cc_large.jpg
Xương rồng trứng chim (bịch nhựa/chậu nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/upload_c61180297bd2417d9f4cb88087d637eb_large.jpg
Sen hàm cá mập (chậu nhựa/bịch nhựa),"15,000₫",https://product.hstatic.net/1000187613/product/img_5539_d92f005aecb145b9b64ce0989be6c7d3_large.jpg
